week_beg,Google_Adwords,Facebook,TV,Radio,traffic
06/07/2020,94017.2,82950,0,0,6719812
13/07/2020,93634.5,66150,0,0,6186229
20/07/2020,112239.4,94650,0,0,6790416
27/07/2020,121250.3,96450,0,0,7146957
03/08/2020,130470.9,114600,0,0,7815741
10/08/2020,131955.3,119550,0,0,8444791
17/08/2020,129812,106350,0,0,8267982
24/08/2020,110176.6,116550,0,0,7059093
31/08/2020,97206,90150,0,1298507.463,6137780
07/09/2020,107410,82650,0,0,6356676
14/09/2020,77073.5,70650,0,0,5237124
21/09/2020,103647.3,70950,0,0,4999990
28/09/2020,116805.4,76650,0,0,5449003
05/10/2020,148509.5,96750,0,0,6726743
12/10/2020,125055.1,88500,4341823.869,0,6226920
19/10/2020,142059,85650,0,0,6316911
26/10/2020,137317.6,80400,0,0,6045622
02/11/2020,169948.5,92250,0,0,6532776
09/11/2020,180195.8,100500,0,0,7013419
16/11/2020,171117,80400,0,0,6661626
23/11/2020,322622.5,338700,6693443.511,1514925.373,13174892
30/11/2020,212631.2,98100,4341823.869,0,7408386
07/12/2020,234100.7,101400,4341823.869,1514925.373,8927318
14/12/2020,260568.5,128850,4341823.869,0,10791803
21/12/2020,290988,137250,4341823.869,1514925.373,12784412
28/12/2020,133238.1,102600,0,0,8615943
04/01/2021,109836.6,82350,0,0,4922788
11/01/2021,128108.2,72900,0,0,4336508
18/01/2021,119720.6,69750,0,0,4409387
25/01/2021,128990.1,66000,0,0,4183630
01/02/2021,135977.3,53700,0,0,3995216
08/02/2021,143930.6,131400,0,0,4505004
15/02/2021,145172.9,73800,0,0,5002462
22/02/2021,168285.3,85050,0,0,5252341
01/03/2021,176839.9,81450,0,0,5112821
08/03/2021,189027.1,85050,4397123.489,1511474.27,5689169
15/03/2021,180690.1,101250,0,0,6502390
22/03/2021,171390.5,76200,0,0,5524652
29/03/2021,162937.5,83550,0,0,5214240
05/04/2021,177504.1,90450,0,0,5687588
12/04/2021,193782.7,104100,0,0,5847569
19/04/2021,209021,111000,4397123.489,1511474.27,7508050
26/04/2021,144461.4,90000,0,0,5374538
03/05/2021,124752.6,73800,0,0,4588852
10/05/2021,169455,115050,0,0,5512025
17/05/2021,190908.2,376650,0,0,6834931
24/05/2021,185839.3,144900,0,0,6863975
31/05/2021,180518.6,290850,0,0,7158438
07/06/2021,193529.5,139350,4397123.489,0,7074652
14/06/2021,147352.4,116250,0,0,6488603
21/06/2021,148203.4,131850,0,0,6464867
28/06/2021,159418.6,126750,0,0,7041649
05/07/2021,154105.7,147150,0,1036439.499,6832453
12/07/2021,132009.8,106200,0,0,5883640
19/07/2021,183341.3,214500,0,0,5900047
26/07/2021,189316,133200,0,1036439.499,6549324
02/08/2021,201080.7,142950,0,0,7018006
